route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:12,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:13,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:14,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:15,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:16,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:17,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:18,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:19,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:20,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:21,DURENQUE QUAI > BORDE BASSE,,1,,zenbus:Route:5972410501169152:LOC,,,5155743860785152,trip_180
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:22,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:23,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:24,COLLEGE THOMAS PESQUET > ARSENAL,,1,,zenbus:Route:6244497535008768:LOC,,,5172420497375232,trip_183
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:0,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:1,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:2,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5119077993414656:LOC,,,5110079768494080,trip_310
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:3,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:4,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:5,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:6,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5156927342379008:LOC,,,5120575259279360,trip_358
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:7,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:8,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5203537938087936:LOC,,,6226719188975616,trip_323
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:9,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:10,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5156927342379008:LOC,,,5120575259279360,trip_358
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:11,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:12,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:13,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:14,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5156927342379008:LOC,,,5120575259279360,trip_358
zenbus:Line:834470001:LOC,cal2-sat,6220275597180928:15,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
